"label","weight","calories","protein","carbohydrates","fats","fiber","sugars","sodium"
"apple_pie","80","240","2","36","10","2","16","120"
"apple_pie","100","300","3","45","12","2","20","150"
"apple_pie","120","360","4","54","14","3","24","180"
"apple_pie","150","450","5","68","18","3","30","225"
"apple_pie","200","600","6","90","24","4","40","300"
"baby_back_ribs","150","540","38","15","33","1","12","720"
"baby_back_ribs","200","720","50","20","44","2","16","960"
"baby_back_ribs","250","900","63","25","55","2","20","1200"
"baby_back_ribs","300","1080","75","30","66","3","24","1440"
"baby_back_ribs","350","1260","88","35","77","3","28","1680"
"baklava","50","165","3","20","8","1","13","60"
"baklava","70","231","4","28","11","1","18","84"
"baklava","100","330","6","40","16","2","25","120"
"baklava","120","396","7","48","19","2","30","144"
"baklava","150","495","9","60","24","3","38","180"
"beef_carpaccio","100","200","20","1","12","0","0","300"
"beef_carpaccio","150","300","30","2","18","0","0","450"
"beef_carpaccio","200","400","40","3","24","0","0","600"
"beef_carpaccio","250","500","50","4","30","0","0","750"
"beef_carpaccio","300","600","60","5","36","0","0","900"
"beef_tartare","100","250","25","2","15","0","1","400"
"beef_tartare","150","375","38","3","23","0","2","600"
"beef_tartare","200","500","50","4","30","0","3","800"
"beef_tartare","250","625","63","5","38","0","4","1000"
"beef_tartare","300","750","75","6","45","0","5","1200"
"beet_salad","100","80","3","12","2","3","8","150"
"beet_salad","150","120","5","18","3","5","12","225"
"beet_salad","200","160","6","24","4","6","16","300"
"beet_salad","250","200","8","30","5","8","20","375"
"beet_salad","300","240","10","36","6","9","24","450"
"beignets","50","200","3","25","10","1","12","100"
"beignets","70","280","4","35","14","1","17","140"
"beignets","100","400","6","50","20","2","24","200"
"beignets","120","480","7","60","24","2","29","240"
"beignets","150","600","9","75","30","3","36","300"
"bibimbap","300","450","15","60","12","5","10","800"
"bibimbap","400","600","20","80","16","7","13","1067"
"bibimbap","500","750","25","100","20","8","17","1333"
"bibimbap","600","900","30","120","24","10","20","1600"
"bibimbap","700","1050","35","140","28","12","23","1867"
"bread_pudding","100","250","6","35","10","2","20","200"
"bread_pudding","150","375","9","53","15","3","30","300"
"bread_pudding","200","500","12","70","20","4","40","400"
"bread_pudding","250","625","15","88","25","5","50","500"
"bread_pudding","300","750","18","105","30","6","60","600"
"breakfast_burrito","200","400","20","40","15","5","5","600"
"breakfast_burrito","250","500","25","50","19","6","6","750"
"breakfast_burrito","300","600","30","60","23","7","7","900"
"breakfast_burrito","350","700","35","70","26","8","8","1050"
"breakfast_burrito","400","800","40","80","30","10","10","1200"
"bruschetta","50","100","3","15","4","1","2","150"
"bruschetta","70","140","4","21","6","1","3","210"
"bruschetta","100","200","6","30","8","2","4","300"
"bruschetta","120","240","7","36","10","2","5","360"
"bruschetta","150","300","9","45","12","3","6","450"
"caesar_salad","200","300","10","15","20","3","5","500"
"caesar_salad","250","375","13","19","25","4","6","625"
"caesar_salad","300","450","15","23","30","5","8","750"
"caesar_salad","350","525","18","26","35","6","9","875"
"caesar_salad","400","600","20","30","40","7","10","1000"
"cannoli","50","200","4","25","10","1","15","50"
"cannoli","70","280","6","35","14","1","21","70"
"cannoli","100","400","8","50","20","2","30","100"
"cannoli","120","480","10","60","24","2","36","120"
"cannoli","150","600","12","75","30","3","45","150"
"caprese_salad","150","200","8","10","15","2","5","200"
"caprese_salad","200","267","11","13","20","3","7","267"
"caprese_salad","250","333","13","17","25","4","8","333"
"caprese_salad","300","400","16","20","30","5","10","400"
"caprese_salad","350","467","19","23","35","6","12","467"
"carrot_cake","100","350","4","45","18","2","30","300"
"carrot_cake","150","525","6","68","27","3","45","450"
"carrot_cake","200","700","8","90","36","4","60","600"
"carrot_cake","250","875","10","113","45","5","75","750"
"carrot_cake","300","1050","12","135","54","6","90","900"
"ceviche","150","200","20","10","5","2","3","400"
"ceviche","200","267","27","13","7","3","4","533"
"ceviche","250","333","33","17","8","4","5","667"
"ceviche","300","400","40","20","10","5","6","800"
"ceviche","350","467","47","23","12","6","7","933"
"cheese_plate","150","450","20","5","35","0","1","600"
"cheese_plate","200","600","27","7","47","0","1","800"
"cheese_plate","250","750","33","9","58","0","2","1000"
"cheese_plate","300","900","40","10","70","0","2","1200"
"cheese_plate","350","1050","47","12","82","0","3","1400"
"cheesecake","100","350","6","30","22","1","25","250"
"cheesecake","150","525","9","45","33","2","38","375"
"cheesecake","200","700","12","60","44","2","50","500"
"cheesecake","250","875","15","75","55","3","63","625"
"cheesecake","300","1050","18","90","66","4","75","750"
"chicken_curry","200","300","20","15","15","3","5","500"
"chicken_curry","250","375","25","19","19","4","6","625"
"chicken_curry","300","450","30","23","23","5","8","750"
"chicken_curry","350","525","35","26","26","6","9","875"
"chicken_curry","400","600","40","30","30","7","10","1000"
"chicken_quesadilla","150","350","20","25","15","2","2","600"
"chicken_quesadilla","200","467","27","33","20","3","3","800"
"chicken_quesadilla","250","583","33","42","25","4","4","1000"
"chicken_quesadilla","300","700","40","50","30","5","5","1200"
"chicken_quesadilla","350","817","47","58","35","6","6","1400"
"chicken_wings","100","300","20","10","20","0","1","400"
"chicken_wings","150","450","30","15","30","0","2","600"
"chicken_wings","200","600","40","20","40","0","3","800"
"chicken_wings","250","750","50","25","50","0","4","1000"
"chicken_wings","300","900","60","30","60","0","5","1200"
"chocolate_cake","100","400","5","50","20","2","35","300"
"chocolate_cake","150","600","8","75","30","3","53","450"
"chocolate_cake","200","800","10","100","40","4","70","600"
"chocolate_cake","250","1000","13","125","50","5","88","750"
"chocolate_cake","300","1200","15","150","60","6","105","900"
"chocolate_mousse","100","300","5","25","20","2","20","100"
"chocolate_mousse","150","450","8","38","30","3","30","150"
"chocolate_mousse","200","600","10","50","40","4","40","200"
"chocolate_mousse","250","750","13","63","50","5","50","250"
"chocolate_mousse","300","900","15","75","60","6","60","300"
"churros","50","200","3","25","10","1","12","100"
"churros","70","280","4","35","14","1","17","140"
"churros","100","400","6","50","20","2","24","200"
"churros","120","480","7","60","24","2","29","240"
"churros","150","600","9","75","30","3","36","300"
"clam_chowder","200","250","10","20","12","2","5","800"
"clam_chowder","250","313","13","25","15","3","6","1000"
"clam_chowder","300","375","15","30","18","4","8","1200"
"clam_chowder","350","438","18","35","21","5","9","1400"
"clam_chowder","400","500","20","40","24","6","10","1600"
"club_sandwich","200","400","20","35","18","3","5","600"
"club_sandwich","250","500","25","44","23","4","6","750"
"club_sandwich","300","600","30","53","27","5","8","900"
"club_sandwich","350","700","35","61","32","6","9","1050"
"club_sandwich","400","800","40","70","36","7","10","1200"
"crab_cakes","100","250","15","10","15","1","2","400"
"crab_cakes","150","375","23","15","23","2","3","600"
"crab_cakes","200","500","30","20","30","3","4","800"
"crab_cakes","250","625","38","25","38","4","5","1000"
"crab_cakes","300","750","45","30","45","5","6","1200"
"creme_brulee","100","300","5","25","20","0","20","100"
"creme_brulee","150","450","8","38","30","0","30","150"
"creme_brulee","200","600","10","50","40","0","40","200"
"creme_brulee","250","750","13","63","50","0","50","250"
"creme_brulee","300","900","15","75","60","0","60","300"
"croque_madame","200","450","20","30","25","2","5","800"
